Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
17/03/2003,Germany,1,0,0
17/03/2003,Canada,8,2,0
17/03/2003,Singapore,20,0,0
17/03/2003,"Hong Kong SAR, China",95,1,0
17/03/2003,Switzerland,2,0,0
17/03/2003,Thailand,1,0,0
17/03/2003,Viet Nam,40,1,0
18/03/2003,Germany,2,0,0
18/03/2003,Canada,8,2,0
18/03/2003,China,0,0,0
18/03/2003,Singapore,23,0,0
18/03/2003,"Hong Kong SAR, China",123,1,0
18/03/2003,"Taiwan, China",3,0,0
18/03/2003,Thailand,1,0,0
18/03/2003,Viet Nam,57,1,0
18/03/2003,Slovenia,1,0,0
18/03/2003,United Kingdom,1,0,0
19/03/2003,Canada,8,2,0
19/03/2003,China,0,0,0
19/03/2003,Germany,1,0,0
19/03/2003,"Hong Kong SAR, China",150,5,0
19/03/2003,Singapore,31,0,0
19/03/2003,Slovenia,1,0,0
19/03/2003,Spain,1,0,0
19/03/2003,"Taiwan, China",3,0,0
19/03/2003,Thailand,1,0,0
19/03/2003,United Kingdom,1,0,0
19/03/2003,United States,11,0,0
19/03/2003,Viet Nam,56,2,0
20/03/2003,Canada,9,2,0
20/03/2003,China,0,0,0
20/03/2003,Germany,1,0,0
20/03/2003,"Hong Kong SAR, China",173,6,0
20/03/2003,Singapore,34,0,0
20/03/2003,Slovenia,1,0,0
20/03/2003,Spain,1,0,0
20/03/2003,Switzerland,7,0,0
20/03/2003,"Taiwan, China",4,0,0
20/03/2003,Thailand,1,0,0
20/03/2003,United Kingdom,2,0,0
20/03/2003,United States,11,0,0
20/03/2003,Viet Nam,62,2,0
21/03/2003,Canada,9,2,0
21/03/2003,China,0,0,0
21/03/2003,Germany,1,0,0
21/03/2003,"Hong Kong SAR, China",203,6,0
21/03/2003,Italy,1,0,0
21/03/2003,Republic of Ireland,1,0,0
21/03/2003,Singapore,39,0,0
21/03/2003,Slovenia,1,0,0
21/03/2003,Spain,1,0,0
21/03/2003,Switzerland,7,0,0
21/03/2003,"Taiwan, China",6,0,0
21/03/2003,Thailand,4,0,0
21/03/2003,United Kingdom,2,0,0
21/03/2003,United States,13,0,0
21/03/2003,Viet Nam,62,2,0
22/03/2003,Canada,9,2,0
22/03/2003,China,0,0,0
22/03/2003,Germany,2,0,0
22/03/2003,"Hong Kong SAR, China",222,7,0
22/03/2003,Italy,2,0,0
22/03/2003,Republic of Ireland,1,0,0
22/03/2003,Singapore,44,0,0
22/03/2003,Slovenia,1,0,0
22/03/2003,Spain,1,0,0
22/03/2003,Switzerland,7,0,0
22/03/2003,"Taiwan, China",6,0,0
22/03/2003,Thailand,4,0,0
22/03/2003,United Kingdom,2,0,0
22/03/2003,United States,22,0,0
22/03/2003,Viet Nam,63,2,0
24/03/2003,Canada,11,3,0
24/03/2003,China,0,0,0
24/03/2003,France,1,0,0
24/03/2003,Germany,4,0,0
24/03/2003,"Hong Kong SAR, China",260,10,0
24/03/2003,Italy,2,0,0
24/03/2003,Republic of Ireland,1,0,0
24/03/2003,Singapore,65,0,0
24/03/2003,Spain,1,0,0
24/03/2003,Switzerland,2,0,0
24/03/2003,"Taiwan, China",6,0,0
24/03/2003,Thailand,5,0,0
24/03/2003,United Kingdom,3,0,0
24/03/2003,United States,37,0,0
24/03/2003,Viet Nam,58,4,0
25/03/2003,Canada,11,3,0
25/03/2003,China,0,0,0
25/03/2003,France,1,0,0
25/03/2003,Germany,4,0,0
25/03/2003,"Hong Kong SAR, China",286,10,0
25/03/2003,Italy,2,0,0
25/03/2003,Republic of Ireland,1,0,0
25/03/2003,Singapore,69,0,0
25/03/2003,Switzerland,2,0,0
25/03/2003,"Taiwan, China",6,0,0
25/03/2003,Thailand,5,0,0
25/03/2003,United Kingdom,3,0,0
25/03/2003,United States,39,0,0
25/03/2003,Viet Nam,58,4,0
26/03/2003,Canada,19,3,0
26/03/2003,China,792,31,0
26/03/2003,"Hong Kong SAR, China",316,10,0
26/03/2003,"Taiwan, China",6,0,0
26/03/2003,France,1,0,0
26/03/2003,Germany,4,0,0
26/03/2003,Italy,3,0,0
26/03/2003,Republic of Ireland,2,0,0
26/03/2003,Singapore,74,1,0
26/03/2003,Switzerland,2,0,0
26/03/2003,Thailand,3,0,0
26/03/2003,United Kingdom,3,0,0
26/03/2003,United States,40,0,0
26/03/2003,Viet Nam,58,4,0
27/03/2003,Canada,28,3,0
27/03/2003,China,806,34,0
27/03/2003,"Hong Kong SAR, China",367,10,0
27/03/2003,"Taiwan, China",6,0,0
27/03/2003,France,1,0,0
27/03/2003,Germany,4,0,0
27/03/2003,Italy,2,0,0
27/03/2003,Republic of Ireland,2,0,0
27/03/2003,Romania,3,0,0
27/03/2003,Singapore,78,2,0
27/03/2003,Switzerland,2,0,0
27/03/2003,Thailand,3,0,0
27/03/2003,United Kingdom,3,0,0
27/03/2003,United States,45,0,0
27/03/2003,Viet Nam,58,4,0
28/03/2003,Canada,29,3,0
28/03/2003,China,806,34,0
28/03/2003,"Hong Kong SAR, China",425,10,0
28/03/2003,"Taiwan, China",10,0,0
28/03/2003,France,1,0,0
28/03/2003,Germany,4,0,0
28/03/2003,Italy,2,0,0
28/03/2003,Republic of Ireland,2,0,0
28/03/2003,Romania,3,0,0
28/03/2003,Singapore,86,2,0
28/03/2003,Switzerland,2,0,0
28/03/2003,Thailand,3,0,0
28/03/2003,United Kingdom,3,0,0
28/03/2003,United States,51,0,0
28/03/2003,Viet Nam,58,4,0
29/03/2003,Canada,37,3,0
29/03/2003,China,806,34,0
29/03/2003,"Hong Kong SAR, China",470,10,0
29/03/2003,"Taiwan, China",10,0,0
29/03/2003,France,1,0,0
29/03/2003,Germany,4,0,0
29/03/2003,Italy,2,0,0
29/03/2003,Republic of Ireland,2,0,0
29/03/2003,Romania,3,0,0
29/03/2003,Singapore,89,2,0
29/03/2003,Switzerland,3,0,0
29/03/2003,Thailand,3,1,0
29/03/2003,United Kingdom,3,0,0
29/03/2003,United States,59,0,0
29/03/2003,Viet Nam,58,4,0
31/03/2003,Canada,44,4,0
31/03/2003,China,806,34,0
31/03/2003,"Hong Kong SAR, China",530,13,0
31/03/2003,"Taiwan, China",10,0,0
31/03/2003,France,1,0,0
31/03/2003,Germany,5,0,0
31/03/2003,Italy,2,0,0
31/03/2003,Republic of Ireland,2,0,0
31/03/2003,Romania,3,0,0
31/03/2003,Singapore,91,2,0
31/03/2003,Switzerland,3,0,0
31/03/2003,Thailand,5,1,0
31/03/2003,United Kingdom,3,0,0
31/03/2003,United States,59,0,0
31/03/2003,Viet Nam,58,4,0
01/04/2003,Australia,1,0,0
01/04/2003,Belgium,1,0,0
01/04/2003,Canada,53,4,0
01/04/2003,China,806,34,0
01/04/2003,"Hong Kong SAR, China",685,16,0
01/04/2003,"Taiwan, China",13,0,0
01/04/2003,France,1,0,0
01/04/2003,Germany,5,0,0
01/04/2003,Italy,3,0,0
01/04/2003,Republic of Ireland,2,0,0
01/04/2003,Romania,3,0,0
01/04/2003,Singapore,92,3,0
01/04/2003,Switzerland,3,0,0
01/04/2003,Thailand,6,1,0
01/04/2003,United Kingdom,3,0,0
01/04/2003,United States,69,0,0
01/04/2003,Viet Nam,58,4,0
02/04/2003,Australia,1,0,0
02/04/2003,Belgium,1,0,0
02/04/2003,Canada,58,6,0
02/04/2003,China,1190,46,0
02/04/2003,"Hong Kong SAR, China",708,16,0
02/04/2003,"Taiwan, China",13,0,0
02/04/2003,France,1,0,0
02/04/2003,Germany,5,0,0
02/04/2003,Italy,3,0,0
02/04/2003,Republic of Ireland,2,0,0
02/04/2003,Romania,3,0,0
02/04/2003,Singapore,95,4,0
02/04/2003,Spain,1,0,0
02/04/2003,Switzerland,2,0,0
02/04/2003,Thailand,7,2,0
02/04/2003,United Kingdom,3,0,0
02/04/2003,United States,72,0,0
02/04/2003,Viet Nam,58,4,0
03/04/2003,Australia,1,0,0
03/04/2003,Belgium,1,0,0
03/04/2003,Brazil,1,0,0
03/04/2003,Canada,62,6,0
03/04/2003,China,1190,46,0
03/04/2003,"Hong Kong SAR, China",734,17,0
03/04/2003,"Taiwan, China",14,0,0
03/04/2003,France,3,0,0
03/04/2003,Germany,5,0,0
03/04/2003,Italy,3,0,0
03/04/2003,Republic of Ireland,1,0,0
03/04/2003,Romania,1,0,0
03/04/2003,Singapore,98,4,0
03/04/2003,Switzerland,2,0,0
03/04/2003,Thailand,7,2,0
03/04/2003,United Kingdom,3,0,0
03/04/2003,United States,85,0,0
03/04/2003,Viet Nam,59,4,0
04/04/2003,Australia,1,0,0
04/04/2003,Belgium,1,0,0
04/04/2003,Brazil,1,0,0
04/04/2003,Canada,69,7,0
04/04/2003,China,1220,49,0
04/04/2003,"Hong Kong SAR, China",761,17,0
04/04/2003,"Taiwan, China",15,0,0
04/04/2003,France,3,0,0
04/04/2003,Germany,5,0,0
04/04/2003,Italy,3,0,0
04/04/2003,Republic of Ireland,1,0,0
04/04/2003,Romania,1,0,0
04/04/2003,Singapore,100,5,0
04/04/2003,Spain,1,0,0
04/04/2003,Switzerland,2,0,0
04/04/2003,Thailand,7,2,0
04/04/2003,United Kingdom,3,0,0
04/04/2003,United States,100,0,0
04/04/2003,Viet Nam,59,4,0
05/04/2003,Australia,1,0,0
05/04/2003,Belgium,1,0,0
05/04/2003,Brazil,1,0,0
05/04/2003,Canada,74,7,0
05/04/2003,China,1220,49,0
05/04/2003,"Hong Kong SAR, China",800,20,0
05/04/2003,"Taiwan, China",17,0,0
05/04/2003,France,3,0,0
05/04/2003,Germany,5,0,0
05/04/2003,Italy,3,0,0
05/04/2003,Malaysia,1,1,0
05/04/2003,Republic of Ireland,1,0,0
05/04/2003,Romania,1,0,0
05/04/2003,Singapore,101,6,0
05/04/2003,Spain,1,0,0
05/04/2003,Switzerland,1,0,0
05/04/2003,Thailand,7,2,0
05/04/2003,United Kingdom,4,0,0
05/04/2003,United States,115,0,0
05/04/2003,Viet Nam,59,4,0
07/04/2003,Australia,1,0,0
07/04/2003,Brazil,1,0,0
07/04/2003,Canada,90,9,0
07/04/2003,China,1268,53,0
07/04/2003,"Hong Kong SAR, China",883,23,0
07/04/2003,"Taiwan, China",21,0,0
07/04/2003,France,3,0,0
07/04/2003,Germany,5,0,0
07/04/2003,Italy,3,0,0
07/04/2003,Malaysia,1,1,0
07/04/2003,Republic of Ireland,1,0,0
07/04/2003,Romania,1,0,0
07/04/2003,Singapore,106,6,0
07/04/2003,Spain,1,0,0
07/04/2003,Switzerland,1,0,0
07/04/2003,Thailand,7,2,0
07/04/2003,United Kingdom,5,0,0
07/04/2003,United States,141,0,0
07/04/2003,Viet Nam,62,4,0
08/04/2003,Australia,1,0,0
08/04/2003,Brazil,1,0,0
08/04/2003,Canada,91,10,0
08/04/2003,China,1279,53,0
08/04/2003,"Hong Kong SAR, China",928,25,0
08/04/2003,"Taiwan, China",19,0,0
08/04/2003,France,4,0,0
08/04/2003,Germany,5,0,0
08/04/2003,Italy,3,0,0
08/04/2003,Malaysia,1,1,0
08/04/2003,Republic of Ireland,1,0,0
08/04/2003,Romania,1,0,0
08/04/2003,Singapore,113,8,0
08/04/2003,Spain,1,0,0
08/04/2003,Switzerland,1,0,0
08/04/2003,Thailand,7,2,0
08/04/2003,United Kingdom,5,0,0
08/04/2003,United States,148,0,0
08/04/2003,Viet Nam,62,4,0
09/04/2003,Brazil,1,0,0
09/04/2003,Canada,94,10,0
09/04/2003,China,1280,53,0
09/04/2003,"Hong Kong SAR, China",970,27,0
09/04/2003,"Taiwan, China",19,0,0
09/04/2003,France,4,0,0
09/04/2003,Germany,5,0,0
09/04/2003,Italy,3,0,0
09/04/2003,Malaysia,1,1,0
09/04/2003,Republic of Ireland,1,0,0
09/04/2003,Romania,1,0,0
09/04/2003,Singapore,118,9,0
09/04/2003,Spain,1,0,0
09/04/2003,Switzerland,1,0,0
09/04/2003,Thailand,7,2,0
09/04/2003,United Kingdom,5,0,0
09/04/2003,United States,149,0,0
09/04/2003,Viet Nam,62,4,0
10/04/2003,Brazil,2,0,0
10/04/2003,Canada,97,10,22
10/04/2003,China,1290,55,1025
10/04/2003,"Hong Kong SAR, China",998,30,154
10/04/2003,"Taiwan, China",19,0,5
10/04/2003,France,4,0,0
10/04/2003,Germany,6,0,2
10/04/2003,Italy,3,0,1
10/04/2003,Kuwait,1,0,0
10/04/2003,Malaysia,3,1,0
10/04/2003,Republic of Ireland,1,0,1
10/04/2003,Romania,1,0,0
10/04/2003,Singapore,126,9,75
10/04/2003,Spain,1,0,0
10/04/2003,Switzerland,1,0,1
10/04/2003,Thailand,7,2,5
10/04/2003,United Kingdom,5,0,3
10/04/2003,United States,154,0,0
10/04/2003,Viet Nam,62,4,43
11/04/2003,Brazil,2,0,0
11/04/2003,Canada,98,10,25
11/04/2003,China,1309,58,1037
11/04/2003,"Hong Kong SAR, China",1059,32,169
11/04/2003,"Taiwan, China",21,0,6
11/04/2003,France,5,0,0
11/04/2003,Germany,6,0,4
11/04/2003,Italy,3,0,2
11/04/2003,Japan,4,0,0
11/04/2003,Kuwait,1,0,0
11/04/2003,Malaysia,4,1,0
11/04/2003,Republic of Ireland,1,0,1
11/04/2003,Romania,1,0,0
11/04/2003,Singapore,133,9,77
11/04/2003,South Africa,1,0,0
11/04/2003,Spain,1,0,0
11/04/2003,Switzerland,1,0,1
11/04/2003,Thailand,7,2,5
11/04/2003,United Kingdom,5,0,3
11/04/2003,United States,166,0,0
11/04/2003,Viet Nam,62,4,43
12/04/2003,Brazil,2,0,0
12/04/2003,Canada,101,10,26
12/04/2003,China,1309,58,1037
12/04/2003,"Hong Kong SAR, China",1108,35,215
12/04/2003,"Taiwan, China",23,0,7
12/04/2003,France,5,0,1
12/04/2003,Germany,6,0,4
12/04/2003,Italy,3,0,2
12/04/2003,Japan,4,0,0
12/04/2003,Kuwait,1,0,0
12/04/2003,Malaysia,4,1,0
12/04/2003,Republic of Ireland,1,0,1
12/04/2003,Romania,1,0,0
12/04/2003,Singapore,147,9,77
12/04/2003,South Africa,1,0,0
12/04/2003,Spain,1,0,0
12/04/2003,Switzerland,1,0,1
12/04/2003,Thailand,8,2,5
12/04/2003,United Kingdom,6,0,3
12/04/2003,United States,166,0,0
12/04/2003,China,62,4,46
14/04/2003,Brazil,2,0,0
14/04/2003,Canada,100,13,27
14/04/2003,China,1418,64,1088
14/04/2003,"Hong Kong SAR, China",1190,47,229
14/04/2003,"Taiwan, China",23,0,7
14/04/2003,France,5,0,1
14/04/2003,Germany,6,0,4
14/04/2003,Indonesia,1,0,0
14/04/2003,Italy,3,0,2
14/04/2003,Kuwait,1,0,0
14/04/2003,Malaysia,4,1,0
14/04/2003,Philippines,1,0,1
14/04/2003,Republic of Ireland,1,0,1
14/04/2003,Romania,1,0,0
14/04/2003,Singapore,158,12,84
14/04/2003,South Africa,1,0,0
14/04/2003,Spain,1,0,0
14/04/2003,Sweden,1,0,0
14/04/2003,Switzerland,1,0,1
14/04/2003,Thailand,8,2,5
14/04/2003,United Kingdom,6,0,3
14/04/2003,United States,174,0,0
14/04/2003,Viet Nam,63,5,46
15/04/2003,Brazil,2,0,0
15/04/2003,Canada,100,13,27
15/04/2003,China,1418,64,1088
15/04/2003,"Hong Kong SAR, China",1232,56,243
15/04/2003,"Taiwan, China",23,0,7
15/04/2003,France,5,0,1
15/04/2003,Germany,6,0,4
15/04/2003,Indonesia,1,0,0
15/04/2003,Italy,3,0,2
15/04/2003,Japan,1,0,0
15/04/2003,Kuwait,1,0,0
15/04/2003,Malaysia,4,1,0
15/04/2003,Philippines,1,0,1
15/04/2003,Republic of Ireland,1,0,1
15/04/2003,Romania,1,0,1
15/04/2003,Singapore,162,13,85
15/04/2003,South Africa,1,0,0
15/04/2003,Spain,1,0,0
15/04/2003,Sweden,1,0,0
15/04/2003,Switzerland,1,0,1
15/04/2003,Thailand,8,2,5
15/04/2003,United Kingdom,6,0,3
15/04/2003,United States,193,0,0
15/04/2003,Viet Nam,63,5,46
16/04/2003,Brazil,2,0,0
16/04/2003,Canada,103,13,37
16/04/2003,China,1432,64,1094
16/04/2003,"Hong Kong SAR, China",1268,61,257
16/04/2003,"Taiwan, China",27,0,10
16/04/2003,France,5,0,1
16/04/2003,Germany,6,0,4
16/04/2003,Indonesia,1,0,0
16/04/2003,Italy,3,0,2
16/04/2003,Japan,1,0,0
16/04/2003,Kuwait,1,0,0
16/04/2003,Malaysia,5,1,0
16/04/2003,Philippines,1,0,1
16/04/2003,Republic of Ireland,1,0,1
16/04/2003,Romania,1,0,1
16/04/2003,Singapore,162,13,85
16/04/2003,South Africa,1,0,0
16/04/2003,Spain,1,0,0
16/04/2003,Sweden,1,0,0
16/04/2003,Switzerland,1,0,1
16/04/2003,Thailand,8,2,5
16/04/2003,United Kingdom,6,0,3
16/04/2003,United States,193,0,0
16/04/2003,Viet Nam,63,5,46
17/04/2003,Australia,3,0,3
17/04/2003,Brazil,2,0,0
17/04/2003,Canada,126,12,46
17/04/2003,China,1457,65,1107
17/04/2003,"Hong Kong SAR, China",1297,65,272
17/04/2003,"Taiwan, China",27,0,10
17/04/2003,France,5,0,1
17/04/2003,Germany,6,0,4
17/04/2003,India,1,0,0
17/04/2003,Indonesia,1,0,0
17/04/2003,Italy,3,0,2
17/04/2003,Japan,2,0,0
17/04/2003,Kuwait,1,0,0
17/04/2003,Malaysia,5,1,0
17/04/2003,Mongolia,3,0,3
17/04/2003,Philippines,1,0,1
17/04/2003,Republic of Ireland,1,0,1
17/04/2003,Romania,1,0,1
17/04/2003,Singapore,167,15,91
17/04/2003,South Africa,1,0,0
17/04/2003,Spain,1,0,0
17/04/2003,Sweden,1,0,0
17/04/2003,Switzerland,1,0,1
17/04/2003,Thailand,8,2,5
17/04/2003,United Kingdom,6,0,3
17/04/2003,United States,199,0,0
17/04/2003,Viet Nam,63,5,46
18/04/2003,Australia,3,0,3
18/04/2003,Brazil,2,0,0
18/04/2003,Canada,132,12,54
18/04/2003,China,1512,65,1140
18/04/2003,"Hong Kong SAR, China",1358,81,363
18/04/2003,"Taiwan, China",29,0,17
18/04/2003,France,5,0,1
18/04/2003,Germany,6,0,4
18/04/2003,India,1,0,1
18/04/2003,Indonesia,1,0,0
18/04/2003,Italy,3,0,2
18/04/2003,Japan,4,0,0
18/04/2003,Kuwait,1,0,0
18/04/2003,Malaysia,5,1,0
18/04/2003,Mongolia,3,0,3
18/04/2003,Philippines,1,0,1
18/04/2003,Republic of Ireland,1,0,1
18/04/2003,Romania,1,0,1
18/04/2003,Singapore,177,16,100
18/04/2003,South Africa,1,0,0
18/04/2003,Spain,1,0,0
18/04/2003,Sweden,3,0,0
18/04/2003,Switzerland,1,0,1
18/04/2003,Thailand,7,2,6
18/04/2003,United Kingdom,6,0,5
18/04/2003,United States,220,0,0
18/04/2003,Viet Nam,63,5,46
19/04/2003,Australia,3,0,3
19/04/2003,Brazil,2,0,0
19/04/2003,Canada,132,12,54
19/04/2003,China,1512,65,1140
19/04/2003,"Hong Kong SAR, China",1358,81,363
19/04/2003,"Taiwan, China",29,0,17
19/04/2003,France,5,0,1
19/04/2003,Germany,6,0,4
19/04/2003,India,1,0,1
19/04/2003,Indonesia,1,0,0
19/04/2003,Italy,3,0,2
19/04/2003,Japan,4,0,0
19/04/2003,Kuwait,1,0,0
19/04/2003,Malaysia,5,1,0
19/04/2003,Mongolia,3,0,3
19/04/2003,Philippines,1,0,1
19/04/2003,Republic of Ireland,1,0,1
19/04/2003,Romania,1,0,1
19/04/2003,Singapore,177,16,100
19/04/2003,South Africa,1,0,0
19/04/2003,Spain,1,0,0
19/04/2003,Sweden,3,0,0
19/04/2003,Switzerland,1,0,1
19/04/2003,Thailand,7,2,6
19/04/2003,United Kingdom,6,0,5
19/04/2003,United States,220,0,0
19/04/2003,Viet Nam,63,5,46
21/04/2003,Australia,3,0,3
21/04/2003,Brazil,2,0,0
21/04/2003,Canada,132,12,54
21/04/2003,China,1959,86,1187
21/04/2003,"Hong Kong SAR, China",1402,94,436
21/04/2003,"Taiwan, China",29,0,17
21/04/2003,France,5,0,1
21/04/2003,Germany,6,0,4
21/04/2003,India,1,0,1
21/04/2003,Indonesia,1,0,0
21/04/2003,Italy,3,0,2
21/04/2003,Japan,5,0,0
21/04/2003,Kuwait,1,0,1
21/04/2003,Malaysia,6,1,0
21/04/2003,Mongolia,3,0,3
21/04/2003,Philippines,2,1,1
21/04/2003,Republic of Ireland,1,0,1
21/04/2003,Romania,1,0,1
21/04/2003,Singapore,178,16,104
21/04/2003,South Africa,1,0,0
21/04/2003,Spain,1,0,0
21/04/2003,Sweden,3,0,0
21/04/2003,Switzerland,1,0,1
21/04/2003,Thailand,7,2,5
21/04/2003,United Kingdom,6,0,5
21/04/2003,United States,39,0,0
21/04/2003,Viet Nam,63,5,46
22/04/2003,Australia,3,0,3
22/04/2003,Brazil,2,0,0
22/04/2003,Canada,139,13,65
22/04/2003,China,2001,92,1201
22/04/2003,"Hong Kong SAR, China",1434,99,461
22/04/2003,"Taiwan, China",29,0,21
22/04/2003,France,5,0,1
22/04/2003,Germany,7,0,6
22/04/2003,India,1,0,1
22/04/2003,Indonesia,1,0,0
22/04/2003,Italy,3,0,2
22/04/2003,Japan,2,0,0
22/04/2003,Kuwait,1,0,1
22/04/2003,Malaysia,6,1,0
22/04/2003,Mongolia,3,0,3
22/04/2003,Philippines,2,1,1
22/04/2003,Republic of Ireland,1,0,1
22/04/2003,Romania,1,0,1
22/04/2003,Singapore,186,16,110
22/04/2003,South Africa,1,0,0
22/04/2003,Spain,1,0,0
22/04/2003,Sweden,3,0,0
22/04/2003,Switzerland,1,0,1
22/04/2003,Thailand,7,2,5
22/04/2003,United Kingdom,6,0,5
22/04/2003,United States,38,0,0
22/04/2003,Viet Nam,63,5,46
23/04/2003,Australia,4,0,3
23/04/2003,Brazil,2,0,0
23/04/2003,Canada,140,13,65
23/04/2003,China,2305,106,1231
23/04/2003,"Hong Kong SAR, China",1458,105,522
23/04/2003,"Taiwan, China",37,0,21
23/04/2003,France,5,0,1
23/04/2003,Germany,7,0,6
23/04/2003,India,1,0,1
23/04/2003,Indonesia,1,0,0
23/04/2003,Italy,3,0,2
23/04/2003,Japan,2,0,0
23/04/2003,Kuwait,1,0,1
23/04/2003,Malaysia,5,2,2
23/04/2003,Mongolia,3,0,3
23/04/2003,Philippines,2,1,1
23/04/2003,Republic of Ireland,1,0,1
23/04/2003,Romania,1,0,1
23/04/2003,Singapore,189,17,114
23/04/2003,South Africa,1,0,0
23/04/2003,Spain,1,0,0
23/04/2003,Sweden,3,0,0
23/04/2003,Switzerland,1,0,1
23/04/2003,Thailand,7,2,5
23/04/2003,United Kingdom,6,0,5
23/04/2003,United States,39,0,0
23/04/2003,Viet Nam,63,5,46
24/04/2003,Brazil,2,0,2
24/04/2003,Bulgaria,1,0,0
24/04/2003,Canada,140,15,67
24/04/2003,China,2422,110,1254
24/04/2003,"Hong Kong SAR, China",1488,109,567
24/04/2003,"Taiwan, China",37,0,21
24/04/2003,France,5,0,1
24/04/2003,Germany,7,0,6
24/04/2003,India,1,0,1
24/04/2003,Indonesia,1,0,1
24/04/2003,Italy,4,0,3
24/04/2003,Japan,2,0,0
24/04/2003,Kuwait,1,0,1
24/04/2003,Malaysia,5,2,2
24/04/2003,Mongolia,3,0,3
24/04/2003,Philippines,2,1,1
24/04/2003,Republic of Ireland,1,0,1
24/04/2003,Romania,1,0,1
24/04/2003,Singapore,192,19,118
24/04/2003,South Africa,1,0,0
24/04/2003,Spain,1,0,1
24/04/2003,Sweden,3,0,2
24/04/2003,Switzerland,1,0,1
24/04/2003,Thailand,8,2,5
